Day,Description,Value,Spender
1,Gasolina,20,Filipe
2,Barbeiro,22,Filipe
2,Via Verde,1.8,Filipe
3,GAMAobar,61.5,Filipe
3,Continente,31.44,Guilherme
3,Bateria Carro,181.01,Filipe
4,Continente,60.51,Filipe
6,Lareira,6,Filipe
7,Gasolina Mealhada,30,Filipe
7,Via Verde,1.2,Filipe
9,Continente,72.81,Filipe
10,Lareira,3,Filipe
11,Continente,5.96,Filipe
12,Pingo Doce,15.94,Filipe
13,Minipreço,2.53,Filipe
13,Águas Porto,14.54,Guilherme
15,Via Verde,16.4,Filipe
15,Vodafone,71.89,Guilherme
17,Raminho de Salsa,5.3,Filipe
18,Almoço Buçaquinho,25.2,Filipe
19,Continente,2.79,Filipe
20,Leroy Merlin,33.67,Guilherme
20,SUELECTRICIDADE,79.47,Guilherme
20,Gasolina Intermarche,30.72,Filipe
20,Inspeção Carro,36.64,Filipe
20,Hôma,28,Filipe
20,Continente,70.2,Filipe
20,Almoço Vila do Conde,21.9,Filipe
20,Decathlon,12,Guilherme
20,Continente,7.74,Filipe
22,Pingo Doce,6.5,Filipe
22,Via Verde,1.8,Filipe
23,Vodafone,71.89,Guilherme
24,Lareira,3,Filipe
27,LIDL,18.28,Filipe
27,Continente,73.78,Filipe
28,Águas Porto,20.93,Guilherme
29,Pingo Doce,22.69,Filipe
